id,type,latitude,longitude,streetName,slots
1,BIKE,41.397952,2.180042,Gran Via Corts Catalanes,2
2,BIKE,41.39553,2.17706,Roger de Flor/ Gran Vía,0
3,BIKE,41.394072,2.183441,Nàpols,19
4,BIKE,41.39347,2.18149,Ribes,11
5,BIKE,41.391075,2.180223,Pg Lluís Companys,34
6,BIKE,41.391349,2.18061,Pg Lluís Companys,18
7,BIKE,41.388856,2.183251,Pg Lluís Companys,7
8,BIKE,41.389088,2.183568,Pg Lluís Companys,9
9,BIKE,41.384532,2.184921,Marquès de l'Argentera,3
11,BIKE,41.381689,2.193914,Passeig Marítim,9
12,BIKE,41.384538,2.195679,Pg Marítim Barceloneta,24
13,BIKE,41.386861,2.195761,Avinguda Litoral,33
14,BIKE,41.384675,2.185039,Avinguda del Marques Argentera,3
15,BIKE,41.394812,2.171189,Girona,11
16,BIKE,41.39827,2.186708,Av. Meridiana,4
17,BIKE,41.398237,2.186711,Av. Meridiana,6
18,BIKE,41.406086,2.174167,Rosselló,24
19,BIKE,41.403282,2.170726,Rosselló,26
20,BIKE,41.410166,2.175759,Cartagena,10
21,BIKE,41.410897,2.17402,Sant Antoni Maria Claret,11
22,BIKE,41.401684,2.17568,Sardenya,11
23,BIKE,41.392526,2.171812,Bruc,25
24,BIKE,41.400659,2.179111,Marina,19
25,BIKE,41.395179,2.168294,Bruc,10
26,BIKE,41.407035,2.181981,Dos Maig,11
27,BIKE,41.396881,2.164415,Provença,20
28,BIKE,41.405422,2.17064,Sardenya,22
29,BIKE,41.401101,2.170082,Provença,15
30,BIKE,41.402046,2.182286,Diagonal,3
31,BIKE,41.37481,2.18895,Plaça del Mar,0
32,BIKE,41.373698,2.188927,Plaça del Mar,0
33,BIKE,41.376862,2.190773,Pontevedra,1
34,BIKE,41.387074,2.175247,Sant Pere Més Alt,11
35,BIKE,41.413592,2.221153,Sant Ramon de Penyafort,17
36,BIKE,41.385151,2.176804,Catedral,15
37,BIKE,41.381226,2.181888,Pl. Antonio López,19
38,BIKE,41.381129,2.186397,Pl. Pau Vila,8
39,BIKE,41.381046,2.186576,Pl. Pau Vila,6
40,BIKE,41.382335,2.187093,Doctor Aiguader,5
41,BIKE,41.379326,2.189906,Pl. Poeta Boscà/Atlàntida,4
42,BIKE,41.404511,2.189881,Ciutat de Granada,14
43,BIKE,41.40541,2.18712,Av Meridiana,9
44,BIKE,41.402165,2.187136,Av Meridiana,17
45,BIKE,41.391401,2.189399,Marina,4
46,BIKE,41.388359,2.193004,Ramon trias Fargas,28
47,BIKE,41.389076,2.192104,Ramon Trias Fargas,30
48,BIKE,41.395261,2.18708,Meridiana,13
49,BIKE,41.39106,2.196457,Rosa Sensat en front,8
50,BIKE,41.375,2.17035,Av. Paral.lel,7
51,BIKE,41.384054,2.169019,Pl. Vicenç Martorell,1
53,BIKE,41.385227,2.173878,Pl. Carles Pi i Sunyer,16
54,BIKE,41.377635,2.170586,Sant Oleguer,9
55,BIKE,41.381154,2.173497,La Rambla,6
56,BIKE,41.377011,2.175834,Portal de Santa Madrona,9
57,BIKE,41.376758,2.177093,La Rambla,12
58,BIKE,41.382822,2.167154,Plaça dels Àngels,12
59,BIKE,41.382781,2.167203,Plaça dels Àngels,17
60,BIKE,41.390349,2.16424,Rambla Catalunya,24
61,BIKE,41.390143,2.164946,Rambla Catalunya,17
62,BIKE,41.387142,2.168858,Pl. Catalunya,4
63,BIKE,41.386439,2.169417,Pl. Catalunya,9
64,BIKE,41.387469,2.169048,Pl. Catalunya,0
65,BIKE,41.387678,2.169587,Pl. Catalunya,13
66,BIKE,41.389097,2.167933,Gran Via,1
67,BIKE,41.385012,2.145843,Rocafort,19
68,BIKE,41.395364,2.157356,Rambla Catalunya,23
69,BIKE,41.386814,2.195689,Avda. Litoral,30
70,BIKE,41.380347,2.160695,Comte Urgell,5
71,BIKE,41.381931,2.162969,Floridablanca,14
72,BIKE,41.392716,2.158811,Provença,24
73,BIKE,41.392278,2.156183,Enric Granados,19
74,BIKE,41.390062,2.143272,Josep Tarradellas,19
75,BIKE,41.385081,2.142868,Josep Tarradellas,20
76,BIKE,41.391751,2.153123,Còrsega,29
